"Browser Version","Market Share Perc. (W32 2012)"
"Comodo Dragon 10.0",0
"SeaMonkey 2.2",0
"UC Browser 7.9",0
"Iron 5.0",0
"UC Browser 2.2",0
"Pale Moon 7.0",0
"Comodo Dragon 19.2",0
"Flock 1.2",0
"Comodo Dragon 12.1",0
"SeaMonkey 2.6",0
"Comodo Dragon 11.4",0
"SeaMonkey 2.4",0
"IE 5.01",0
"Chromium 7.0",0
"RockMelt 0.9",0
"Lunascape 6.5",0
"SeaMonkey 2.5",0
"MS OPD 0",0
"UC Browser 8.3",0
"Camino 1.6",0
"Pale Moon 9.0",0
"Iron 4.0",0
"Safari 1.0",0
"Safari 1.2",0
"Chrome 0.0",0
"Comodo Dragon 8.0",0
"QQ Browser 3.1",0
"Comodo Dragon 16.0",0
"SeaMonkey 2.3",0
"Comodo Dragon 19.1",0
"Midori 0.2",0
"IE 5.0",0
"Opera 8.5",0
"Netscape 4.03",0
"Comodo Dragon 19.0",0
"UC Browser 7.8",0
"QQ Browser 3.4",0
"Comodo Dragon 18.1",0
"Obigo 0",0
"Chromium 22.0",0
"Minefield 3.0",0
"Chromium 6.0",0
"Comodo Dragon 14.0",0
"QQ Browser 2.4",0
"Pale Moon 4.0",0
"Safari 0",0
"RockMelt 0.8",0
"Comodo Dragon 18.3",0
"Firefox 0",0
"UC Browser 8.5",0
"FrontPage 0",0
"SeaMonkey 2.1",0
"UC Browser 7.7",0
"Comodo Dragon 13.4",0
"IE 0",0
"Minefield 4.0",0
"QQ Browser 6.11",0
"Windows Media Player 11.0",0
"QQ Browser 6.10",0
"Lunascape 6.6",0
"Comodo Dragon 17.5",0
"NetFront 0",0
"Comodo Dragon 9.0",0
"QQ Browser 2.3",0
"Skyfire 0",0
"Minefield 3.7",0
"Netscape 7.0",0
"QQ Browser 1.5",0
"Comodo Dragon 18.0",0
"QQ Browser 2.2",0
"Pale Moon 5.0",0
"Comodo Dragon 6.0",0
"Comodo Dragon 12.2",0
"Links 2.2",0
"Unknown 0",0
"Comodo Dragon 14.1",0
"UC Browser 7.6",0
"Pale Moon 6.0",0
"Comodo Dragon 14.2",0
"Mozilla 1.0",0
"Iron 3.0",0
"IE 4.01",0
"Comodo Dragon 17.3",0
"Opera 10.2",0
"Netscape 4.79",0
"Comodo Dragon 13.0",0
"Netscape 8.0",0
"Comodo Dragon 4.1",0
"Comodo Dragon 17.4",0
"QQ Browser 2.6",0
"Opera 7.5",0
"Safari 1.1",0
"Microsoft URL Control 0",0
"Lunascape 5.1",0
"Netscape 7.1",0
"Camino 1.0",0
"NetSurf 0",0
"Comodo Dragon 17.1",0
"QQ Browser 3.0",0
"QQ Browser 2.7",0
"SeaMonkey 1.0",0
"Lunascape 6.4",0
"Lunascape 6.3",0
"Chromium 0",0
"Netscape 4.8",0
"Netscape 8.1",0
"WebPositive 0",0
"Thunderbird 3.0",0
"SeaMonkey 2.14",0
"iBrowser 3.1",0
"UC Browser 2.3",0
"QQ Browser 2.1",0
"Chrome 0.5",0
"Opera 7.0",0
"QQ Browser 2.8",0
"Netscape 6.2",0
"Camino 1.5",0
"Comodo Dragon 13.2",0
"Epiphany 3.2",0
"Windows Media Player 9.0",0
"Webaroo 1.2",0
"Lunascape 6.1",0
"Comodo Dragon 12.0",0
"Iron 2.0",0
"Konqueror 3.2",0
"UC Browser 8.4",0
"Squid 0",0
"Midori 0.3",0
"Amiga 0",0
"Lunascape 4.0",0
"IE 5.1",0
"Epiphany 3.0",0
"Chromium 5.0",0
"Opera 7.2",0
"Sleipnir 2.0",0
"Microsoft-WebDAV 0",0
"QQ Browser 3.3",0
"UC Browser 8.2",0
"Epiphany 2.14",0
"Galeon 2.0",0
"Netscape 3.0",0
"Proxomitron 0",0
"QQ Browser 2.0",0
"Webaroo 1.3",0
"Firebird 0",0
"Flock 3.0",0
"QQ Browser 1.9",0
"Comodo Dragon 17.0",0
"Pale Moon 3.5",0
"IE 5.2",0
"SeaMonkey 2.13",0
"QQ Browser 6.9",0
"Chrome 99.0",0
"NetFront 3.4",0
"QQ Browser 5.1",0
"Chrome 3.1",0
"UC Browser 7.4",0
"Konqueror 4.2",0
"Flock 1.1",0
"Safari 6.1",0
"Flock 1.0",0
"Mozilla 1.6",0
"QQ Browser 5.0",0
"JoeDog 0",0
"Mozilla 1.2",0
"Opera 7.1",0
"Netscape 4.5",0
"UC Browser 1.0",0
"Comodo Dragon 4.0",0
"Camino 0.8",0
"Mozilla 1.4",0
"UC Browser 7.0",0
"QQ Browser 6.8",0
"QQ Browser 2.9",0
"Lunascape 4.8",0
"Chrome 42.0",0
"Mozilla 1.3",0
"Openwave Mobile Browser 0",0
"Iron 0.2",0
"Mozilla 1.5",0
"QQ Browser 6.2",0
"QQ Browser 6.7",0
"Midori 0.1",0
"Chimera 0",0
"UC Browser 7.2",0
"Chrome 99.9",0
"Lynx 2.8",0
"Konqueror 3.1",0
"Minefield 3.6",0
"Konqueror 3.4",0
"Iron 1.0",0
"Windows-Media-Player 10.0",0
"Chrome 2.1",0
"WebTV/MSNTV 1.0",0
"Lunascape 6.0",0
"Galeon 1.0",0
"Epiphany 2.20",0
"QQ Browser 6.0",0
"QQ Browser 1.4",0
"Opera 7.6",0
"AOL 5.5",0
"Chrome 1.3",0
"Konqueror 4.1",0
"Dillo 2.0",0
"UC Browser 7.5",0
"Netscape 4.61",0
"Links 2.1",0
"Lunascape 5.0",0
"QQ Browser 1.0",0
"Konqueror 3.3",0
"Midori 0.01",0
"Chrome 8.1",0
"QQ Browser 1.2",0
"Anonymous 0",0
"ibisBrowser 0",0
"Flock 0.9",0
"Flock 0.7",0
"Tencent Traveler 5.0",0
"UC Browser 8.1",0
"Lunascape 4.3",0
"iPhone 0",0
"Comodo Dragon 1.0",0
"Dillo 0.8",0
"Lunascape 4.7",0
"Lunascape 3.0",0
"QQ Browser 1.3",0
"Iron 0",0
"w3m 0.5",0
"Pale Moon 15.0",0
"Lunascape 2.0",0
"Epiphany 1.2",0
"Minefield 3.1",0
"QQ Browser 4.0",0
"Chromium 21.0",0
"iCab 3.0",0
"UC Browser 2.1",0
"QQ Browser 6.5",0
"QQ Browser 6.3",0
"Chrome 19.7",0
"Chrome 59.0",0
"Fake IE 0",0
"Sundance 1.2",0
"Opera 8.1",0
"Firefox 19.0",0
"Opera 10.3",0
"Lunascape 0",0
"QQ Browser 6.6",0
"Lunascape 6.2",0
"UC Browser 2.0",0
"Konqueror 3.0",0
"Minefield 3.2",0
"Microsoft Office Existence Discovery 0",0
"Opera 6.0",0
"iCab 2.9",0
"QQ Browser 1.1",0
"Iron 8.06",0
"iTunes 0",0
"Netscape 4.51",0
"Apple-PubSub 0",0
"Camino 4.0",0
"Netscape 4.0",0
"Chromium 19.0",0
"Epiphany 3.4",0
"Webaroo 2.0",0
"Lunascape 1.4",0
"Midori 0",0
"Epiphany 1.4",0
"Comodo Dragon 17.2",0
"Lunascape 3.6",0
"Netscape 6.1",0
"Epiphany 2.18",0
"SmallProxy 0",0
"iBrowser 3.0",0
"iBrowser 2.7",0
"Netscape 4.6",0
"Shiira 1.2",0
"Mozilla 1.1",0
"UC Browser 8.6",0
"IEMobile 7.0",0
"Chrome 0.1",0
"Lunascape 4.2",0
"ELinks 0.11",0
"Lunascape 1.04",0
"NetFront 3.3",0
"Opera 12.1",0
"Comodo Dragon 18.2",0
"iBrowser 2.6",0
"Epiphany 1.8",0
"Lunascape 3.5",0
"Camino 2.4",0
"UC Browser 6.0",0
"Emacs/W3 0",0
"BrowseX 0",0
"Lunascape 4.6",0
"Camino 0.9",0
"Epiphany 1.6",0
"RockMelt 0.0",0
"Iron 0.3",0
"Epiphany 1.0",0
"Pale Moon 0",0
"Lunascape 1.0",0
"Camino 0.7",0
"Lunascape 1.2",0
"Epiphany 2.16",0
"Camino 2.2",0
"IE 4.5",0
"CE-Preload 0",0
"Minefield 4.2",0
"Lunascape 1.1",0
"Anonymizied 0",0
"Pale Moon 93.6",0
"Netscape 6.0",0
"Iron 0.4",0
"Microsoft 0",0
"Epiphany 2.28",0
"NetPositive 2.2",0
"SeaMonkey 0",0
"Lunascape 4.9",0
"iBrowser 0",0
"Windows Media Player 10.0",0
"Firefox 0.0",0
"IE 4.0",0
"Epiphany 2.29",0
"Lunascape 1.03",0
"QQ Browser 5.2",0
"SaferSurf 0",0
"Twitturly 0",0
"Chrome 9.2",0
"HP Secure Web Browser 1.4",0
"Lynx 0",0
"Lunascape 3.1",0
"SeaMonkey 1.5",0
"HP Secure Web Browser 1.8",0
"Flock 0.4",0
"Lunascape 4.1",0
"MPlayer 1.0",0
"Iron 20.0",0
"Chrome 25.0",0
"Epiphany 0",0
"iBrowser 2.8",0
"iCab 2.7",0
"Microsoft Visio 0",0
"Camino 3.0",0
"Zune 3.0",0
"w3m 0",0
"UC Browser 7.3",0
"Samsung 0",0
"Epiphany 0.8",0
"Microsoft Excel 12.0",0
"Lunascape 3.2",0
"Camino 1.1",0
"ELinks 0.10",0
"Flock 0.5",0
"Chrome 24.9",0
"ELinks 0.12",0
"Chrome 2.2",0
"VLC 0",0
"ELinks 0.9",0
"Shiira 1.1",0
"Maxthon 3.2",0
"Camino 0",0
"Lunascape 1.3",0
"Links 0.9",0
"Sundance 0.9",0
"Links 1.0",0
"Lunascape 4.5",0
"Windows Media Player 8.0",0
"Firefox 18.0",0
"Epiphany 0.9",0
"Firefox 20.0",0
"Chrome 1.6",0
"iPod Touch 0",0
"Dillo 0.7",0
"RealPlayer 0",0
"Chrome 22.9",0
"Chrome 19.9",0
"Avant Browser 0",0
"Dillo 0.6",0
"Chrome 13.1",0
"Links 0",0
"Maxthon 4.0",0
"WinAmp 0",0
"MFHttpScan 0",0
"Anonymizer 0",0
"Opera 5.0",0
"Chromium 23.0",0
"Netscape 4.71",0
"WordPress 0",0
"BITS 0",0
"Lunascape 2.1",0
"HP Secure Web Browser 1.7",0
"Maxthon 2.5",0
"SlimBrowser 0",0
"Chrome 18.1",0
"MS IPP DAV 0",0
"Maxthon 5.0",0
"Chrome 37.0",0
